,Player Name,Goals/90min,Assists/90min,Yel/90min,Red/90min,SpG,PS%,Rating,Tackles,Inter,Fouls (def),Offsides,Clear,DrB (def),Blocks,DrB (off),Fouled (off),Off (off),Disp (off),KeyP,AvgP,Crosses,LongB,ThrB,OutOfBox,SixYardBox,PenaltyArea,Playing_Nature,Vertical Position,Horizontal Position
406,Luan Peres,0.0,0.0,0.12,0.0,0.1,84.6,6.67,1.4,2.3,0.8,0.2,3.9,0.3,0.2,0.2,0.0,0.0,0.3,0.3,35.4,0.1,1.9,0.0,0.0,0.0,0.1,Defensive,Back,Center
407,Junior Sornoza,0.0,0.1,0.3,0.0,1.9,83.7,6.64,0.3,0.4,0.6,0.1,0.1,1.5,0.2,0.6,0.4,0.0,1.1,2.3,37.3,1.1,2.8,0.1,1.7,0.1,0.2,Attacking,Mid,Center
408,Ayrton Lucas,0.0,0.0,0.0,0.0,0.6,77.4,6.59,1.4,1.0,1.0,0.0,1.4,0.4,0.0,1.4,3.2,0.0,0.6,0.2,18.6,1.0,1.0,0.0,0.2,0.0,0.4,Defensive,Mid,Left
409,Marcos Junior,0.44,0.22,0.0,0.0,1.0,79.3,6.54,0.5,0.3,0.4,0.0,0.1,0.5,0.0,0.4,1.5,0.6,0.9,0.5,13.9,0.3,0.1,0.0,0.3,0.1,0.6,Attacking,Forward,Center
410,Frazan,0.0,0.0,0.0,0.0,0.3,77.2,6.52,0.8,0.5,1.0,0.3,2.8,0.5,0.5,0.0,0.8,0.0,0.8,0.3,19.8,0.0,0.5,0.0,0.0,0.3,0.0,Defensive,Back,Center
411,Nathan Ribeiro,0.0,0.0,0.22,0.0,0.0,93.6,6.5,1.4,0.6,1.2,1.0,5.8,1.0,0.6,0.4,0.0,0.0,0.0,0.2,31.4,0.0,3.0,0.0,0.0,0.0,0.0,Defensive,Back,Center
417,Marcinho,0.0,0.27,0.18,0.0,0.5,79.2,6.87,1.4,1.9,1.1,0.2,3.5,1.5,0.3,1.2,0.1,0.0,0.5,1.1,44.2,0.9,3.1,0.0,0.4,0.0,0.1,Defensive,Back,Right
418,Joel Carli,0.0,0.0,0.57,0.0,0.6,78.7,6.85,0.8,1.7,1.4,0.2,6.3,0.1,0.6,0.3,0.9,0.1,0.1,0.2,44.3,0.1,3.4,0.0,0.0,0.0,0.6,Defensive,Back,Center
419,Moises,0.0,0.0,0.16,0.0,0.7,85.0,6.85,2.1,0.7,1.3,0.1,1.7,1.3,0.4,1.4,1.6,0.0,1.1,0.6,32.4,0.7,1.0,0.0,0.6,0.0,0.1,Defensive,Back,Left
422,Marcos Vinicius,0.0,0.0,0.54,0.0,1.3,81.2,6.74,1.5,1.0,0.8,0.0,0.3,1.3,0.0,1.5,1.3,0.0,0.5,0.0,21.3,0.0,1.3,0.0,1.0,0.0,0.3,Neutral,Mid,Right
425,Brenner,0.38,0.0,0.38,0.0,1.3,72.7,6.65,0.6,0.4,0.7,0.0,0.6,0.1,0.1,0.3,1.9,0.3,1.1,1.3,15.7,0.0,0.9,0.0,0.6,0.1,0.6,Attacking,Forward,Center
426,Marcelo Machado,0.0,0.0,1.73,0.0,1.0,75.0,6.56,1.5,1.5,1.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,0.0,0.5,8.0,0.0,0.0,0.0,1.0,0.0,0.0,Attacking,Mid,Center
427,Rodrigo Pimpao,0.42,0.0,0.63,0.0,1.0,75.8,6.47,0.8,0.8,0.8,0.0,0.1,0.6,0.0,1.0,1.0,0.0,0.5,0.6,12.4,0.0,0.8,0.0,0.4,0.1,0.5,Neutral,Mid,Center
428,Gustavo Bochecha,0.0,0.0,0.54,0.0,0.4,86.4,6.42,2.4,0.8,1.0,0.0,0.6,1.2,0.2,0.2,2.0,0.0,0.2,0.4,39.8,0.0,3.6,0.0,0.4,0.0,0.0,Neutral,Mid,Center
431,Luiz Fernando,0.0,0.0,0.38,0.0,0.9,69.6,6.3,0.2,0.3,0.4,0.0,0.4,0.7,0.1,1.1,1.3,0.3,0.8,0.7,12.4,0.1,0.0,0.0,0.4,0.1,0.3,Neutral,Mid,Center
436,Nenem,0.0,0.0,0.0,0.0,0.0,83.3,6.12,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,9.0,0.0,0.5,0.0,0.0,0.0,0.0,Defensive,Mid,Center
438,Lucas Fernandes,0.33,0.0,0.0,0.0,1.0,75.6,6.65,1.4,0.3,0.4,0.0,0.0,0.6,0.0,1.1,2.0,0.0,0.5,0.4,11.3,0.3,0.6,0.0,0.4,0.3,0.4,Defensive,Mid,Center
444,Esteban Pavez,0.0,0.0,0.0,0.0,0.3,95.3,6.7,0.9,2.1,0.6,0.0,2.0,1.0,0.6,0.4,0.6,0.0,0.1,0.1,57.7,0.1,3.6,0.0,0.3,0.0,0.0,Defensive,Back,Center
452,Fabinho,0.0,0.0,0.0,0.0,0.3,89.4,6.45,0.8,1.0,1.3,0.3,1.0,0.3,0.0,0.5,1.5,0.0,0.8,0.3,29.5,0.0,2.5,0.0,0.3,0.0,0.0,Neutral,Mid,Center
453,Naldo,0.33,0.0,0.33,0.0,0.6,96.3,6.79,1.2,2.4,1.0,0.0,1.6,0.6,0.6,0.2,0.6,0.2,0.6,0.4,21.8,0.0,2.4,0.2,0.2,0.2,0.2,Neutral,Mid,Right
454,Wescley,0.28,0.0,0.14,0.0,1.7,75.4,6.52,1.1,0.1,1.6,0.0,0.1,0.9,0.0,1.4,0.3,0.1,1.4,0.9,22.6,0.0,0.4,0.4,1.3,0.0,0.3,Attacking,Mid,Right
455,Valdo,0.0,0.0,0.0,0.0,0.4,93.4,6.51,0.8,0.4,0.2,0.2,3.3,0.3,0.9,0.2,0.6,0.0,0.0,0.0,33.8,0.0,1.6,0.0,0.0,0.0,0.4,Defensive,Back,Center
457,Roberto,0.0,0.0,0.0,0.0,0.3,76.0,6.37,0.7,0.0,0.3,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.7,0.3,8.3,0.3,0.0,0.0,0.0,0.0,0.3,Defensive,Back,Left
623,Eran Zahavi,0.82,0.36,0.0,0.0,4.2,81.6,7.39,0.4,0.2,0.8,0.0,0.3,0.9,0.0,0.9,1.9,0.5,1.7,1.7,34.5,0.1,3.6,0.1,2.5,0.1,1.5,Neutral,Mid,Left
624,Renatinho,0.35,0.35,0.12,0.0,3.1,82.4,7.32,1.3,0.1,0.9,0.0,0.0,0.7,0.0,2.4,1.6,1.1,2.3,1.8,37.3,0.3,2.0,0.2,1.6,0.0,1.6,Neutral,Mid,Right
625,Junior Urso,0.09,0.0,0.18,0.0,1.5,90.2,7.02,2.4,1.6,1.4,0.0,0.8,1.5,0.2,0.9,1.4,0.0,1.2,0.7,70.7,0.1,5.3,0.0,0.8,0.3,0.4,Neutral,Mid,Center
626,Chen Zhizhao,0.28,0.0,0.0,0.0,1.0,76.2,6.75,0.8,0.4,0.8,0.0,0.5,0.8,0.1,1.3,2.0,0.0,1.0,1.5,42.6,0.5,3.4,0.0,0.4,0.1,0.5,Neutral,Mid,Center
630,Huang Zhengyu,0.0,0.0,0.17,0.0,0.2,81.7,6.08,0.6,0.7,0.7,0.2,2.8,0.5,0.2,0.1,0.3,0.0,0.1,0.1,22.9,0.0,2.5,0.0,0.2,0.0,0.0,Defensive,Back,Center
693,Salif Sane,0.13,0.03,0.19,0.0,0.8,78.6,7.34,1.7,1.7,1.1,0.8,7.0,0.7,0.9,0.5,1.1,0.0,0.4,0.3,54.3,0.0,4.0,0.0,0.3,0.1,0.5,Defensive,Back,Center
695,Niclas Fullkrug,0.6,0.11,0.08,0.0,2.6,62.9,7.06,0.5,0.2,1.8,0.0,0.9,0.3,0.1,0.6,1.4,0.3,1.3,1.1,22.0,0.1,0.6,0.0,0.6,0.1,1.8,Attacking,Forward,Center
696,Pirmin Schwegler,0.0,0.23,0.39,0.0,0.4,78.9,7.04,2.8,1.7,2.1,0.0,1.6,1.0,0.3,0.3,1.9,0.0,0.7,1.6,42.6,1.7,1.1,0.0,0.3,0.0,0.1,Neutral,Mid,Center
697,Waldemar Anton,0.04,0.0,0.04,0.0,0.9,80.1,6.99,2.4,1.4,0.7,0.4,3.8,0.9,1.0,0.7,1.1,0.0,0.9,0.1,44.6,0.0,3.1,0.0,0.3,0.1,0.4,Defensive,Back,Center
698,Felipe,0.0,0.0,0.0,0.0,0.2,76.7,6.95,1.3,1.8,1.5,0.0,4.3,0.3,0.5,0.3,1.5,0.0,0.0,0.3,45.0,0.2,2.7,0.0,0.0,0.0,0.2,Defensive,Back,Center
699,Timo Hubers,0.0,0.2,0.4,0.0,0.8,75.9,6.93,2.2,1.8,1.8,0.4,5.4,1.2,1.6,0.2,2.0,0.2,0.0,0.8,34.0,0.0,2.4,0.0,0.0,0.0,0.8,Defensive,Back,Center
701,Felix Klaus,0.18,0.09,0.23,0.0,2.0,72.3,6.86,1.7,0.3,1.0,0.0,0.8,1.0,0.1,0.5,2.1,0.3,1.1,1.1,21.6,1.0,0.5,0.0,1.3,0.0,0.7,Attacking,Mid,Center
702,Miiko Albornoz,0.13,0.26,0.13,0.0,0.4,76.6,6.79,2.4,0.5,0.9,0.0,2.1,0.5,0.2,0.9,1.4,0.0,0.4,0.8,30.8,0.8,1.7,0.0,0.1,0.0,0.3,Defensive,Back,Left
703,Matthias Ostrzolek,0.0,0.04,0.19,0.0,0.6,68.0,6.7,2.5,1.1,1.1,0.2,1.9,0.7,0.4,0.3,1.3,0.0,0.5,0.8,32.7,0.8,2.3,0.0,0.3,0.0,0.3,Defensive,Back,Left
704,Martin Harnik,0.52,0.1,0.1,0.0,1.6,66.6,6.68,0.6,0.3,1.3,0.0,0.8,0.7,0.1,0.4,0.7,0.2,1.1,0.6,18.9,0.1,0.7,0.0,0.3,0.3,1.1,Attacking,Forward,Center
706,Julian Korb,0.04,0.04,0.31,0.0,0.4,67.5,6.55,1.9,0.8,1.5,0.1,2.4,1.1,0.1,0.2,0.5,0.1,0.4,0.8,29.4,0.5,1.8,0.0,0.1,0.0,0.3,Defensive,Back,Right
707,Marvin Bakalorz,0.0,0.04,0.17,0.0,0.8,70.2,6.52,1.6,0.7,1.2,0.0,1.5,0.5,0.3,0.5,1.9,0.1,1.3,0.5,21.8,0.0,1.0,0.1,0.4,0.0,0.3,Neutral,Mid,Center
708,Oliver Sorg,0.0,0.05,0.21,0.0,0.3,70.6,6.48,2.1,1.9,0.8,0.2,2.9,1.4,0.3,0.2,0.8,0.0,0.4,0.4,29.9,0.2,2.5,0.0,0.2,0.0,0.1,Defensive,Back,Center
709,Josip Elez,0.15,0.0,0.45,0.0,0.1,79.2,6.65,1.3,1.6,0.8,0.4,3.7,0.5,0.8,0.3,0.2,0.0,0.2,0.1,35.1,0.0,3.6,0.0,0.0,0.0,0.1,Defensive,Back,Center
711,Iver Fossum,0.07,0.07,0.0,0.0,1.2,78.8,6.44,1.4,0.8,0.7,0.0,0.6,1.1,0.2,0.3,0.3,0.0,1.0,0.8,34.1,0.4,1.2,0.0,0.8,0.0,0.4,Neutral,Mid,Center
712,Kenan Karaman,0.21,0.0,0.21,0.0,0.8,76.4,6.33,0.7,0.0,0.5,0.0,0.5,0.0,0.2,0.4,0.8,0.0,1.3,0.3,11.5,0.1,0.2,0.0,0.3,0.0,0.5,Attacking,Forward,Center
713,Florian Hubner,0.0,0.0,0.55,0.0,0.0,85.3,6.32,1.1,0.7,0.7,0.1,2.3,0.4,0.2,0.0,0.8,0.0,0.0,0.1,17.3,0.0,1.4,0.0,0.0,0.0,0.0,Neutral,Mid,Center
714,Charlison Benschop,0.49,0.0,0.0,0.0,0.7,76.0,6.3,0.6,0.3,0.6,0.1,0.3,0.7,0.0,0.1,0.1,0.0,1.0,0.1,7.1,0.0,0.3,0.0,0.1,0.3,0.3,Attacking,Forward,Center
715,Manuel Schmiedebach,0.0,0.0,0.55,0.0,0.0,69.1,6.18,0.8,0.8,0.7,0.0,0.5,0.8,0.0,0.0,0.2,0.0,0.8,0.5,11.3,0.2,0.5,0.0,0.0,0.0,0.0,Neutral,Mid,Right
716,Sebastian Maier,0.34,0.0,0.0,0.0,0.5,68.9,6.11,1.1,0.4,0.5,0.0,0.0,1.0,0.1,0.3,0.1,0.0,0.4,0.3,11.9,0.5,0.7,0.0,0.5,0.0,0.0,Neutral,Mid,Center
717,Alexander Hack,0.07,0.0,0.14,0.0,0.8,76.6,7.41,3.1,1.7,0.7,0.2,5.5,0.9,1.2,0.3,1.3,0.1,0.1,0.3,43.3,0.1,3.9,0.0,0.3,0.1,0.5,Defensive,Back,Center
719,Jean Philippe Gbamin,0.03,0.1,0.14,0.0,0.9,78.6,7.04,2.6,1.7,1.5,0.1,2.5,0.7,0.3,1.0,1.2,0.0,1.1,0.4,39.0,0.0,3.1,0.0,0.8,0.0,0.1,Neutral,Mid,Center
720,Danny Latza,0.08,0.04,0.31,0.04,1.4,79.2,6.95,2.3,0.9,1.8,0.0,1.4,1.4,0.3,0.7,2.4,0.0,1.2,1.2,42.1,0.4,2.6,0.0,1.0,0.0,0.4,Neutral,Mid,Center
721,Abdou Diallo,0.11,0.04,0.19,0.0,0.5,75.0,6.94,2.8,1.9,2.2,0.3,2.4,0.4,0.5,1.2,0.3,0.2,0.4,0.2,41.5,0.3,3.4,0.0,0.0,0.3,0.2,Defensive,Back,Center
722,Stefan Bell,0.04,0.0,0.33,0.0,0.5,74.4,6.81,1.4,1.8,1.8,0.4,4.6,0.5,0.7,0.2,0.8,0.0,0.3,0.4,37.3,0.0,2.8,0.0,0.1,0.1,0.2,Defensive,Back,Center
723,Daniel Brosinski,0.11,0.18,0.0,0.0,1.1,71.7,6.77,1.6,0.8,0.6,0.0,2.2,0.8,0.4,0.4,0.9,0.2,0.7,1.4,34.2,1.3,2.3,0.0,0.9,0.0,0.2,Defensive,Back,Left
724,Leon Balogun,0.0,0.0,0.36,0.07,0.3,75.1,6.76,2.7,2.3,1.6,0.5,4.1,0.6,0.7,0.7,0.3,0.0,0.6,0.1,34.7,0.1,2.0,0.0,0.1,0.1,0.1,Defensive,Back,Center
725,Yoshinori Muto,0.47,0.09,0.09,0.0,1.3,72.2,6.75,0.8,0.2,1.3,0.0,0.4,0.3,0.0,0.5,1.5,0.6,1.5,0.6,12.0,0.1,0.1,0.0,0.3,0.2,0.9,Attacking,Forward,Center
726,Pablo De Blasis,0.27,0.11,0.11,0.0,1.2,74.0,6.7,1.6,0.4,1.0,0.0,1.1,0.7,0.0,0.6,0.9,0.5,1.5,1.2,28.1,0.2,1.8,0.0,0.4,0.0,0.7,Attacking,Forward,Left
727,Suat Serdar,0.21,0.0,0.16,0.0,1.6,80.3,6.7,2.4,0.8,1.4,0.0,0.5,1.5,0.1,1.2,1.1,0.0,1.5,0.8,22.0,0.0,1.0,0.0,1.1,0.0,0.5,Neutral,Mid,Center
729,Levin Oztunali,0.0,0.21,0.15,0.0,1.1,71.6,6.64,1.0,0.4,1.2,0.0,0.2,0.4,0.0,1.5,1.0,0.3,1.4,1.0,18.4,0.4,0.6,0.1,0.3,0.0,0.7,Attacking,Forward,Right
730,Giulio Donati,0.0,0.12,0.08,0.08,0.3,71.9,6.61,1.9,1.2,0.7,0.1,1.6,0.6,0.3,0.4,1.5,0.0,0.2,0.9,27.8,1.0,1.9,0.0,0.2,0.0,0.1,Defensive,Back,Right
731,Emil Berggreen,0.67,0.27,0.27,0.0,0.9,63.0,6.59,0.1,0.1,1.5,0.0,0.6,0.2,0.1,0.1,0.4,0.1,0.9,0.5,11.6,0.0,0.0,0.0,0.2,0.1,0.6,Attacking,Forward,Center
732,Fabian Frei,0.18,0.0,0.46,0.0,0.7,82.3,6.51,1.8,1.8,1.1,0.1,1.9,0.7,0.0,0.2,0.7,0.0,0.4,0.6,38.2,0.0,2.4,0.0,0.4,0.0,0.3,Neutral,Mid,Center
733,Robin Quaison,0.26,0.06,0.26,0.0,1.7,70.6,6.52,0.7,0.3,1.3,0.0,0.3,0.2,0.1,0.7,0.7,0.2,1.4,0.5,11.9,0.0,0.3,0.0,0.7,0.0,1.0,Attacking,Forward,Center
734,Gerrit Holtmann,0.2,0.1,0.1,0.0,1.2,74.6,6.52,0.9,0.7,0.8,0.0,0.2,0.6,0.1,0.5,0.5,0.1,0.4,0.5,14.6,0.4,0.5,0.0,0.5,0.0,0.6,Neutral,Mid,Center
735,Alexandru Maxim,0.19,0.19,0.47,0.0,1.2,81.8,6.42,0.8,0.3,0.9,0.0,0.1,0.7,0.1,0.5,0.7,0.0,1.3,0.9,17.8,1.0,1.3,0.0,0.7,0.0,0.5,Attacking,Mid,Center
737,Nigel de Jong,0.0,0.0,0.24,0.0,0.1,83.3,6.4,1.5,1.1,1.0,0.0,2.0,0.4,0.1,0.1,1.0,0.0,0.6,0.4,32.7,0.0,1.4,0.0,0.1,0.0,0.0,Neutral,Mid,Center
739,Karim Onisiwo,0.0,0.0,0.0,0.0,0.3,67.1,6.31,0.9,0.1,1.1,0.0,0.9,0.5,0.0,1.0,1.3,0.1,1.1,0.4,8.8,0.0,0.1,0.0,0.1,0.0,0.1,Attacking,Mid,Center
740,Viktor Fischer,1.4,0.0,0.6,0.0,0.8,78.3,6.31,0.3,0.3,0.3,0.0,0.1,0.4,0.0,0.8,0.3,0.4,0.4,0.5,12.7,0.1,0.8,0.0,0.2,0.1,0.5,Neutral,Mid,Center
742,Anthony Ujah,0.0,0.0,0.0,0.0,0.7,45.3,6.12,0.4,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.2,0.4,0.0,0.4,4.8,0.1,0.1,0.0,0.4,0.0,0.4,Neutral,Mid,Left
743,Ignacio Camacho,0.09,0.0,0.09,0.0,0.5,76.0,7.42,2.5,3.7,1.3,0.7,3.6,1.3,0.5,0.2,2.0,0.1,0.8,0.4,47.8,0.0,3.5,0.1,0.1,0.0,0.4,Defensive,Mid,Center
744,John Brooks,0.0,0.0,0.12,0.0,0.1,85.9,6.95,2.2,1.1,1.0,0.8,4.8,0.7,0.6,0.2,1.0,0.0,0.3,0.0,41.0,0.0,4.3,0.0,0.0,0.0,0.1,Defensive,Back,Center
747,William,0.0,0.11,0.28,0.06,0.3,74.3,6.91,3.5,2.1,1.3,0.0,2.3,1.8,0.3,0.8,1.1,0.0,1.0,0.8,36.7,0.4,3.7,0.0,0.3,0.0,0.0,Defensive,Back,Left
748,Paul Jaeckel,0.0,0.0,0.0,0.0,1.0,75.7,6.89,1.0,0.3,1.0,0.0,2.7,0.3,0.7,0.3,0.0,0.0,1.0,0.7,48.0,1.0,3.3,0.0,0.7,0.0,0.3,Defensive,Back,Center
749,Daniel Didavi,0.4,0.2,0.16,0.0,1.8,79.3,6.78,1.1,0.2,1.2,0.0,0.3,0.6,0.0,0.5,1.6,0.2,1.2,1.0,28.6,0.5,1.0,0.0,1.0,0.0,0.9,Attacking,Mid,Center
750,Yannick Gerhardt,0.07,0.07,0.07,0.0,0.5,78.2,6.78,2.2,0.9,0.6,0.1,1.5,0.7,0.3,0.5,1.0,0.2,0.4,0.7,32.1,0.1,1.5,0.0,0.2,0.0,0.4,Attacking,Forward,Center
751,Josip Brekalo,0.29,0.12,0.17,0.0,1.3,74.0,6.74,1.3,0.3,0.7,0.0,0.1,0.3,0.1,1.3,1.3,0.1,1.4,1.1,21.3,0.8,1.2,0.0,0.6,0.0,0.7,Attacking,Mid,Center
752,Marcel Tisserand,0.0,0.07,0.36,0.0,0.4,83.4,6.75,0.9,1.9,1.6,0.3,2.7,0.4,0.8,1.2,0.9,0.0,0.4,0.1,42.4,0.2,3.8,0.0,0.3,0.0,0.1,Defensive,Back,Center
753,Maximilian Arnold,0.07,0.0,0.33,0.04,1.2,83.8,6.74,1.8,1.0,1.8,0.0,1.1,1.1,0.1,0.4,2.8,0.1,1.1,1.3,45.7,1.0,4.7,0.0,1.0,0.0,0.2,Defensive,Mid,Center
754,Yunus Malli,0.24,0.16,0.12,0.0,1.7,77.8,6.73,0.8,0.4,0.5,0.0,0.5,0.4,0.0,1.3,1.4,0.1,1.5,0.9,25.7,0.5,0.6,0.1,0.8,0.0,0.9,Attacking,Mid,Left
755,Robin Knoche,0.04,0.09,0.09,0.0,0.3,85.1,6.7,1.4,1.0,0.8,0.3,3.5,0.4,1.0,0.1,0.5,0.0,0.2,0.1,59.3,0.0,6.3,0.0,0.0,0.0,0.2,Defensive,Back,Center
756,Mario Gomez,0.35,0.12,0.12,0.0,2.1,62.9,6.93,0.7,0.1,1.3,0.0,1.1,0.4,0.0,0.4,1.1,0.4,1.3,0.9,19.2,0.1,0.5,0.0,0.5,0.2,1.4,Attacking,Forward,Center
757,Gian Luca Itter,0.0,0.0,0.22,0.0,0.0,76.4,6.68,3.8,1.0,0.8,0.4,2.0,1.6,0.0,1.0,0.8,0.0,1.2,0.4,29.6,0.4,1.0,0.0,0.0,0.0,0.0,Defensive,Back,Left
758,Paul Verhaegh,0.07,0.07,0.17,0.0,0.2,78.4,6.64,1.5,1.1,0.6,0.2,1.5,0.3,0.3,0.2,1.0,0.0,0.4,0.6,44.6,0.6,3.2,0.0,0.0,0.0,0.2,Defensive,Back,Right
759,Jeffrey Bruma,0.0,0.0,0.18,0.0,0.2,86.4,6.63,1.2,1.3,1.1,0.5,3.7,0.7,1.1,0.2,0.2,0.0,0.3,0.1,55.5,0.1,6.3,0.0,0.1,0.0,0.1,Defensive,Back,Center
760,Divock Origi,0.27,0.09,0.14,0.0,1.9,76.0,6.58,0.2,0.1,1.0,0.0,0.5,0.2,0.1,0.9,1.3,0.5,1.6,0.3,12.8,0.1,0.3,0.0,0.6,0.1,1.3,Attacking,Forward,Center
761,Jakub Blaszczykowski,0.35,0.0,0.0,0.0,0.1,66.7,6.56,1.2,0.5,0.4,0.0,0.3,0.7,0.3,0.6,0.8,0.0,1.3,0.7,17.8,0.3,1.1,0.0,0.0,0.0,0.1,Attacking,Mid,Right
762,Felix Uduokhai,0.17,0.0,0.06,0.06,0.2,86.0,6.5,2.2,1.8,0.9,0.8,3.4,0.4,0.5,0.3,0.6,0.1,0.3,0.1,48.3,0.0,3.5,0.0,0.1,0.0,0.2,Defensive,Back,Center
763,Admir Mehmedi,0.27,0.27,0.36,0.0,1.0,79.8,6.79,1.4,0.8,1.5,0.0,0.2,0.5,0.1,0.1,1.4,0.2,0.8,1.5,26.2,0.9,0.6,0.1,0.3,0.0,0.7,Attacking,Mid,Right
764,Sebastian Jung,0.0,0.0,1.14,0.0,0.0,52.0,6.21,1.0,0.0,0.5,0.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,12.5,0.0,1.0,0.0,0.0,0.0,0.0,Defensive,Back,Right
765,Riechedly Bazoer,0.0,0.0,0.31,0.0,0.5,84.7,6.19,0.6,0.6,0.8,0.0,0.2,0.2,0.1,0.2,1.0,0.2,0.4,0.2,19.1,0.2,1.7,0.0,0.5,0.0,0.1,Neutral,Mid,Center
767,Renato Steffen,0.23,0.08,0.68,0.0,0.7,78.4,6.31,0.8,0.5,1.3,0.0,0.4,0.4,0.0,0.5,1.3,0.0,0.5,0.5,16.7,0.1,0.6,0.0,0.3,0.0,0.4,Neutral,Mid,Left
769,Landry Dimata,0.0,0.1,0.0,0.1,0.6,79.1,6.09,0.3,0.1,1.2,0.0,0.2,0.0,0.1,0.2,1.9,0.0,1.4,0.3,8.9,0.0,0.1,0.0,0.1,0.0,0.4,Attacking,Forward,Center
770,Paul Georges Ntep,0.13,0.13,0.4,0.13,0.6,71.7,6.31,0.9,0.2,0.7,0.0,0.1,0.6,0.1,0.8,1.0,0.2,0.5,0.4,13.2,0.1,0.8,0.0,0.3,0.0,0.3,Attacking,Forward,Right
771,Douglas Santos,0.04,0.04,0.23,0.0,0.8,71.9,7.06,3.3,2.1,1.4,0.1,3.0,1.4,0.1,1.5,0.7,0.0,0.8,0.8,40.3,0.8,2.9,0.0,0.7,0.0,0.1,Defensive,Back,Left
772,Kyriakos Papadopoulos,0.03,0.03,0.38,0.03,0.8,73.6,6.93,2.1,1.5,1.2,0.8,6.0,1.0,1.2,0.1,1.0,0.1,0.0,0.3,41.9,0.0,2.7,0.0,0.0,0.1,0.7,Defensive,Back,Center
773,Lewis Holtby,0.45,0.0,0.08,0.0,1.4,79.5,6.82,2.8,0.6,1.3,0.0,0.6,0.9,0.1,0.7,1.7,0.3,1.6,0.9,33.9,0.5,2.0,0.1,0.6,0.3,0.6,Neutral,Mid,Center
774,Dennis Diekmeier,0.0,0.14,0.19,0.0,0.3,64.0,6.82,2.1,0.7,0.8,0.2,1.8,0.5,0.5,0.8,1.5,0.2,0.5,0.8,25.0,0.8,0.7,0.0,0.0,0.0,0.2,Defensive,Back,Right
